Lokalizacja;Numer stacji;Szer. geograficzna;D³. geograficzna;Dzielnica
ul. Produkcyjna – ul. Modliñska;6430;52.3210600127435;20.971288383007;Bia³o³êka
Hanki Ordonówny;6431;52.332500346975;20.9407916665077;Bia³o³êka
Myœliborska – Trasa Mostu Marii Sk³odowskiej-Curie;6432;52.31321448607098;20.965529680252075;Bia³o³êka
Skarbka z Gór;6433;52.3148509301452;21.061123609542843;Bia³o³êka
Plac Wilsona;6434;52.269332616724064;20.98337173461914;¯oliborz
Potocka;6435;52.276271824059776;20.98367214202881;¯oliborz
ul. Broniewskiego – ul. W³oœciañska;6436;52.2672184701377;20.9623968601227;¯oliborz
Poleczki – Business Park;6437;52.1559985719703;20.9962141513824;Ursynów
ul. Blokowa- DK Zacisze;6438;52.2835315535238;21.07213139534;Targówek
ul. Rembieliñska – Kondratowicza;6439;52.2939628704402;21.0273116827011;Targówek
Rondo ¯aba – ul. Œw. Wincentego;6440;52.26901418805055;21.03793859481811;Targówek
ul. Ko³owa – Teatr Rampa;6441;52.27231654335543;21.049869060516357;Targówek
ul. Kondratowicza – Urz¹d Dzielnicy Targówek;6442;52.29162022169387;21.048860549926758;Targówek
ul. Chodecka – ul. ¯uromiñska;6443;52.2866359391383;21.040256023407;Targówek
Galeria Mokotów;6444;52.17855364649343;21.002769470214844;Mokotów
Galeria Mokotów 1;64441;52.18027400917562;21.00259780883789;Mokotów
OSiR W³ochy;6445;52.1882400983785;20.9603476524353;W³ochy
ul. W¹wozowa – ul.Roso³a;6446;52.1331653444223;21.0748189687729;Ursynów
al. Jerozolimskie – rejon ulicy Popularnej;6447;52.2011367425548;20.9353065490723;W³ochy
PKP W³ochy;6448;52.20575586928424;20.916021466255184;W³ochy
ul. Stryjeñskich – ul. Belgradzka;6449;52.1375116703874;21.0504108667374;Ursynów
al. Krakowska – UD W³ochy;6450;52.192347569343056;20.9596449136734;W³ochy
ul. Stryjeñskich – W¹wozowa;6451;52.131459624889;21.0561454296112;Ursynów
ul. Szczêœliwicka – Drawska;6452;52.20833974071221;20.96313714981079;Ochota
DK W³ochy;6453;52.1945869512993;20.9668707847595;W³ochy
Spektrum Tower;6454;52.23438373925318;20.99907875061035;Œródmieœcie
ul. Sanocka – Pruszkowska;6455;52.20169895374808;20.98214328289032;Ochota
ul. Belgradzka – ul. Roso³a;6456;52.142088024955676;21.065892577171322;Ursynów
ul. Szczêœliwicka – APS;6457;52.2169154072792;20.9710550308228;Ochota
ul. Cybernetyki;6458;52.17563578556543;20.99589228630066;Mokotów
ul. Jana Olbrachta – Górczewska;6459;52.23903554451021;20.94291865825653;Wola
ul. Leszno – ul. M³ynarska;6460;52.2367984024124;20.97236394882202;Wola
